sample_id,source,genotype,collection_year,location,host,tissue,Organism_Name,decade,genotype_major,tissue_clean
s0049,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0247,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0331,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0501,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0383,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0612,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0101,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0283,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0342,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0496,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0216,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0010,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0538,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0446,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0494,Reference,1a,2007,USA: Massachusetts,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0427,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0507,Reference,1b,2007,USA: Massachusetts,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0335,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0175,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0055,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0308,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0527,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0131,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0238,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0052,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0178,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0374,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0458,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0092,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0290,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0564,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0418,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0202,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0021,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0293,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0090,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0509,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0327,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0259,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0117,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0389,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0604,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0069,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0154,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0118,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0182,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0360,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0466,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0079,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0297,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0556,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0354,Reference,1b,2007,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0264,Reference,1b,2007,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0106,Reference,1b,2007,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0221,Reference,1b,2007,USA: New York,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0078,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0152,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0072,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0600,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0392,Reference,1a,2007,USA: New York,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0035,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0185,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0401,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0591,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0326,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0523,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0031,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0198,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0433,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0558,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0299,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0077,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0468,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0358,Reference,1b,2007,USA,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0485,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0353,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0587,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0400,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0186,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0041,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0323,Reference,1a,2007,USA,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0518,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0147,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0234,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0040,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0189,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0362,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0470,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0075,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0295,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0559,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0437,Reference,1a,2007,Switzerland,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0271,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0111,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0224,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0011,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0237,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0144,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0521,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0319,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0038,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0188,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0397,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0588,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0322,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0516,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0029,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0196,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0436,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0562,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0296,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0073,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0472,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0361,Reference,1b,2007,Switzerland,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0481,Reference,1a,2007,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0351,Reference,1a,2007,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0594,Reference,1a,2007,Germany,Homo sapiens,blood,hepatitis C virus genotype 1a,2000s,GT1,blood
s0329,Reference,1b,2007,Germany,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0261,Reference,1b,2007,Germany,Homo sapiens,blood,Hepatitis C virus subtype 1b,2000s,GT1,blood
s0104,Reference,1b,2007,Japan:Hiroshima,Unknown,NA,Hepatitis C virus subtype 1b,2000s,GT1,NA
s0462,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0373,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0019,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0203,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0417,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0566,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0376,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0461,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0378,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0610,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0058,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0162,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0505,Reference,6a,2006,Hong Kong,Unknown,blood,Hepatitis C virus subtype 6a,2000s,GT6,blood
s0465,Reference,Unknown,2005,Hong Kong,Unknown,NA,Hepatitis C virus (isolate 6a33),2000s,Unknown,NA
s0572,Reference,Unknown,2000,Unknown,Unknown,NA,Hepatitis C virus (isolate JPUT971017),2000s,Unknown,NA
s0043,Reference,1b,1999,Germany,Unknown,NA,Hepatitis C virus subtype 1b,1990s,GT1,NA
s0172,Reference,1b,1999,Germany,Unknown,NA,Hepatitis C virus subtype 1b,1990s,GT1,NA
s0430,Reference,Unknown,1998,Unknown,Unknown,NA,Hepacivirus hominis,1990s,Unknown,NA
ERR909798,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909799,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909800,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909801,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909802,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909803,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909804,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909805,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909806,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909807,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909808,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909809,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909810,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909811,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909812,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909813,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909814,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909815,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909816,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909817,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909818,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909819,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909820,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909821,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909822,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909823,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909824,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909825,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909826,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909827,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909828,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909829,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909830,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909831,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909832,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909833,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909834,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909835,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909836,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909837,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909838,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909839,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909840,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909841,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909842,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909843,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909844,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909845,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909846,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909847,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909848,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909849,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909850,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909851,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909852,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909853,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909854,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909855,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909856,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909857,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909858,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909859,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909860,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909861,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909862,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909863,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909864,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909865,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909866,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909867,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909868,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909869,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909870,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909871,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909872,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
ERR909873,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
SRR2069963,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2069975,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070026,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070029,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070032,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070033,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070036,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070037,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070040,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070041,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070044,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070046,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070048,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070051,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070053,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070055,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070058,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070059,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070062,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070064,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070070,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070072,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070078,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070079,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070081,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070083,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070084,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070087,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070088,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070089,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070090,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070091,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070098,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070100,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070102,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070105,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070106,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070109,Raw reads,1a,2005,USA,Homo sapiens,blood,NA,2000s,GT1,blood
SRR2070469,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070472,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070473,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070476,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070477,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070479,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070481,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070483,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070485,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR2070487,Raw reads,2b,2005,USA,Homo sapiens,blood,NA,2000s,GT2,blood
SRR393956,Raw reads,2m,NA,Unknown,Unknown,missing,NA,Unknown,GT2,missing
SRR393957,Raw reads,4l,NA,Unknown,Unknown,missing,NA,Unknown,GT4,missing
ERR149019,Raw reads,Unknown,NA,Unknown,Unknown,NA,NA,Unknown,Unknown,NA
